ensembl_gene_id	entrezgene_id	external_gene_name	chromosome_name	description	gene_biotype
Homez	ENSMUSG00000057156	239099	Homez	14	homeodomain leucine zipper-encoding gene	protein_coding
Ppp1r3e	ENSMUSG00000072494	105651	Ppp1r3e	14	protein phosphatase 1, regulatory subunit 3E	protein_coding
Bcl2l2	ENSMUSG00000089682	12050	Bcl2l2	14	BCL2-like 2	protein_coding
Gm20521	ENSMUSG00000092232	NA	Gm20521	14	predicted gene 20521	protein_coding
Pabpn1	ENSMUSG00000022194	54196	Pabpn1	14	poly(A) binding protein, nuclear 1	protein_coding
Slc22a17	ENSMUSG00000022199	59049	Slc22a17	14	solute carrier family 22 (organic cation transporter), member 17	protein_coding
Efs	ENSMUSG00000022203	13644	Efs	14	embryonal Fyn-associated substrate	protein_coding
Il25	ENSMUSG00000040770	140806	Il25	14	interleukin 25	protein_coding
Cmtm5	ENSMUSG00000040759	67272	Cmtm5	14	CKLF-like MARVEL transmembrane domain containing 5	protein_coding
Ngdn	ENSMUSG00000022204	68966	Ngdn	14	neuroguidin, EIF4E binding protein	protein_coding
Zfhx2	ENSMUSG00000040721	239102	Zfhx2	14	zinc finger homeobox 2	protein_coding
Thtpa	ENSMUSG00000045691	105663	Thtpa	14	thiamine triphosphatase	protein_coding
Ap1g2	ENSMUSG00000040701	11766	Ap1g2	14	adaptor protein complex AP-1, gamma 2 subunit	protein_coding
Jph4	ENSMUSG00000022208	319984	Jph4	14	junctophilin 4	protein_coding
Dhrs2	ENSMUSG00000022209	71412	Dhrs2	14	dehydrogenase/reductase member 2	protein_coding
Dhrs4	ENSMUSG00000022210	28200	Dhrs4	14	dehydrogenase/reductase (SDR family) member 4	protein_coding
Carmil3	ENSMUSG00000022211	268747	Carmil3	14	capping protein regulator and myosin 1 linker 3	protein_coding
Nrl	ENSMUSG00000040632	18185	Nrl	14	neural retina leucine zipper gene	protein_coding
Pck2	ENSMUSG00000040618	74551	Pck2	14	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	protein_coding
Dcaf11	ENSMUSG00000022214	28199	Dcaf11	14	DDB1 and CUL4 associated factor 11	protein_coding
Fitm1	ENSMUSG00000022215	68680	Fitm1	14	fat storage-inducing transmembrane protein 1	protein_coding
Psme1	ENSMUSG00000022216	19186	Psme1	14	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	protein_coding
Emc9	ENSMUSG00000022217	85308	Emc9	14	ER membrane protein complex subunit 9	protein_coding
Psme2	ENSMUSG00000079197	19188	Psme2	14	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	protein_coding
Rnf31	ENSMUSG00000047098	268749	Rnf31	14	ring finger protein 31	protein_coding
Irf9	ENSMUSG00000002325	16391	Irf9	14	interferon regulatory factor 9	protein_coding
Rec8	ENSMUSG00000002324	56739	Rec8	14	REC8 meiotic recombination protein	protein_coding
Ipo4	ENSMUSG00000002319	75751	Ipo4	14	importin 4	protein_coding
Tm9sf1	ENSMUSG00000002320	74140	Tm9sf1	14	transmembrane 9 superfamily member 1	protein_coding
AC174678.1	ENSMUSG00000115222	NA	Gm49747	14	predicted gene, 49747	lncRNA
Tssk4	ENSMUSG00000007591	71099	Tssk4	14	testis-specific serine kinase 4	protein_coding
Mdp1	ENSMUSG00000002329	67881	Mdp1	14	magnesium-dependent phosphatase 1	protein_coding
Nedd8	ENSMUSG00000010376	18002	Nedd8	14	neural precursor cell expressed, developmentally down-regulated gene 8	protein_coding
Gmpr2	ENSMUSG00000002326	105446	Gmpr2	14	guanosine monophosphate reductase 2	protein_coding
Tinf2	ENSMUSG00000007589	28113	Tinf2	14	Terf1 (TRF1)-interacting nuclear factor 2	protein_coding
Tgm1	ENSMUSG00000022218	21816	Tgm1	14	transglutaminase 1, K polypeptide	protein_coding
Rabggta	ENSMUSG00000040472	56187	Rabggta	14	Rab geranylgeranyl transferase, a subunit	protein_coding
Dhrs1	ENSMUSG00000002332	52585	Dhrs1	14	dehydrogenase/reductase (SDR family) member 1	protein_coding
Nop9	ENSMUSG00000019297	67842	Nop9	14	NOP9 nucleolar protein	protein_coding
Cideb	ENSMUSG00000022219	12684	Cideb	14	cell death-inducing DNA fragmentation factor, alpha subunit-like effector B	protein_coding
Ltb4r2	ENSMUSG00000040432	57260	Ltb4r2	14	leukotriene B4 receptor 2	protein_coding
Ltb4r1	ENSMUSG00000046908	16995	Ltb4r1	14	leukotriene B4 receptor 1	protein_coding
Adcy4	ENSMUSG00000022220	104110	Adcy4	14	adenylate cyclase 4	protein_coding
Ripk3	ENSMUSG00000022221	56532	Ripk3	14	receptor-interacting serine-threonine kinase 3	protein_coding
Nfatc4	ENSMUSG00000023411	73181	Nfatc4	14	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4	protein_coding
Nynrin	ENSMUSG00000075592	277154	Nynrin	14	NYN domain and retroviral integrase containing	protein_coding
Cbln3	ENSMUSG00000040380	56410	Cbln3	14	cerebellin 3 precursor protein	protein_coding
Khnyn	ENSMUSG00000047153	219094	Khnyn	14	KH and NYN domain containing	protein_coding
Sdr39u1	ENSMUSG00000022223	654795	Sdr39u1	14	short chain dehydrogenase/reductase family 39U, member 1	protein_coding
Cma1	ENSMUSG00000022225	17228	Cma1	14	chymase 1, mast cell	protein_coding
Cma2	ENSMUSG00000068289	545055	Cma2	14	chymase 2, mast cell	protein_coding
Mcpt1	ENSMUSG00000022227	17224	Mcpt1	14	mast cell protease 1	protein_coding
Mcpt9	ENSMUSG00000071361	17232	Mcpt9	14	mast cell protease 9	protein_coding
Mcpt8	ENSMUSG00000022157	17231	Mcpt8	14	mast cell protease 8	protein_coding
Gzme	ENSMUSG00000022156	14942	Gzme	14	granzyme E	protein_coding
Gzmd	ENSMUSG00000059256	14941	Gzmd	14	granzyme D	protein_coding
Gzmc	ENSMUSG00000079186	14940	Gzmc	14	granzyme C	protein_coding
Gzmb	ENSMUSG00000015437	14939	Gzmb	14	granzyme B	protein_coding
Rnf17	ENSMUSG00000000365	30054	Rnf17	14	ring finger protein 17	protein_coding
Cenpj	ENSMUSG00000064128	219103	Cenpj	14	centromere protein J	protein_coding
Parp4	ENSMUSG00000054509	328417	Parp4	14	poly (ADP-ribose) polymerase family, member 4	protein_coding
Mphosph8	ENSMUSG00000079184	75339	Mphosph8	14	M-phase phosphoprotein 8	protein_coding
Gm16973	ENSMUSG00000097743	NA	Gm16973	14	predicted gene, 16973	lncRNA
Pspc1	ENSMUSG00000021938	66645	Pspc1	14	paraspeckle protein 1	protein_coding
Zmym5	ENSMUSG00000040123	219105	Zmym5	14	zinc finger, MYM-type 5	protein_coding
Zmym2	ENSMUSG00000021945	76007	Zmym2	14	zinc finger, MYM-type 2	protein_coding
Gja3	ENSMUSG00000048582	14611	Gja3	14	gap junction protein, alpha 3	protein_coding
Gjb2	ENSMUSG00000046352	14619	Gjb2	14	gap junction protein, beta 2	protein_coding
Gjb6	ENSMUSG00000040055	14623	Gjb6	14	gap junction protein, beta 6	protein_coding
Cryl1	ENSMUSG00000021947	68631	Cryl1	14	crystallin, lambda 1	protein_coding
Ift88	ENSMUSG00000040040	21821	Ift88	14	intraflagellar transport 88	protein_coding
Il17d	ENSMUSG00000050222	239114	Il17d	14	interleukin 17D	protein_coding
Eef1akmt1	ENSMUSG00000021951	68043	Eef1akmt1	14	EEF1A alpha lysine methyltransferase 1	protein_coding
Xpo4	ENSMUSG00000021952	57258	Xpo4	14	exportin 4	protein_coding
Lats2	ENSMUSG00000021959	50523	Lats2	14	large tumor suppressor 2	protein_coding
Sap18	ENSMUSG00000021963	20220	Sap18	14	Sin3-associated polypeptide 18	protein_coding
Ska3	ENSMUSG00000021965	219114	Ska3	14	spindle and kinetochore associated complex subunit 3	protein_coding
Mrpl57	ENSMUSG00000021967	67840	Mrpl57	14	mitochondrial ribosomal protein L57	protein_coding
Zdhhc20	ENSMUSG00000021969	75965	Zdhhc20	14	zinc finger, DHHC domain containing 20	protein_coding
Micu2	ENSMUSG00000021973	68514	Micu2	14	mitochondrial calcium uptake 2	protein_coding
Fgf9	ENSMUSG00000021974	14180	Fgf9	14	fibroblast growth factor 9	protein_coding
Gm33321	ENSMUSG00000114690	NA	Gm33321	14	predicted gene, 33321	lncRNA
Gm33472	ENSMUSG00000114441	NA	Gm33472	14	predicted gene, 33472	lncRNA
Rcbtb1	ENSMUSG00000035469	71330	Rcbtb1	14	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	protein_coding
Gm6904	ENSMUSG00000090881	NA	Phf11-ps	14	PHD finger protein 11, pseudogene	unprocessed_pseudogene
Phf11a	ENSMUSG00000044703	219131	Phf11a	14	PHD finger protein 11A	protein_coding
Phf11b	ENSMUSG00000091649	236451	Phf11b	14	PHD finger protein 11B	protein_coding
Phf11d	ENSMUSG00000068245	219132	Phf11d	14	PHD finger protein 11D	protein_coding
Phf11c	ENSMUSG00000091144	628705	Phf11c	14	PHD finger protein 11C	protein_coding
Setdb2	ENSMUSG00000071350	239122	Setdb2	14	SET domain, bifurcated 2	protein_coding
Cab39l	ENSMUSG00000021981	69008	Cab39l	14	calcium binding protein 39-like	protein_coding
Cdadc1	ENSMUSG00000021982	71891	Cdadc1	14	cytidine and dCMP deaminase domain containing 1	protein_coding
Shisa2	ENSMUSG00000044461	219134	Shisa2	14	shisa family member 2	protein_coding
Atp8a2	ENSMUSG00000021983	50769	Atp8a2	14	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2	protein_coding
Nupl1	ENSMUSG00000063895	NA	Nupl1	14	nucleoporin like 1	protein_coding
Gm49336	ENSMUSG00000114797	71844	Gm49336	14	predicted gene, 49336	protein_coding
Mtmr6	ENSMUSG00000021987	219135	Mtmr6	14	myotubularin related protein 6	protein_coding
Amer2	ENSMUSG00000021986	72125	Amer2	14	APC membrane recruitment 2	protein_coding
Spata13	ENSMUSG00000021990	219140	Spata13	14	spermatogenesis associated 13	protein_coding
C1qtnf9	ENSMUSG00000071347	239126	C1qtnf9	14	C1q and tumor necrosis factor related protein 9	protein_coding
Mipep	ENSMUSG00000021993	70478	Mipep	14	mitochondrial intermediate peptidase	protein_coding
Tnfrsf19	ENSMUSG00000060548	29820	Tnfrsf19	14	tumor necrosis factor receptor superfamily, member 19	protein_coding
Sacs	ENSMUSG00000048279	50720	Sacs	14	sacsin	protein_coding
Sgcg	ENSMUSG00000035296	24053	Sgcg	14	sarcoglycan, gamma (dystrophin-associated glycoprotein)	protein_coding
Arl11	ENSMUSG00000043157	219144	Arl11	14	ADP-ribosylation factor-like 11	protein_coding
Ebpl	ENSMUSG00000021928	68177	Ebpl	14	emopamil binding protein-like	protein_coding
Kpna3	ENSMUSG00000021929	16648	Kpna3	14	karyopherin (importin) alpha 3	protein_coding
Spryd7	ENSMUSG00000021930	66674	Spryd7	14	SPRY domain containing 7	protein_coding
Trim13	ENSMUSG00000035235	66597	Trim13	14	tripartite motif-containing 13	protein_coding
Kcnrg	ENSMUSG00000046168	328424	Kcnrg	14	potassium channel regulator	protein_coding
Gm27010	ENSMUSG00000098183	NA	Gm27010	14	predicted gene, 27010	lncRNA
Gm26916	ENSMUSG00000098088	NA	Gm26916	14	predicted gene, 26916	lncRNA
Gm27017	ENSMUSG00000097997	NA	Gm27017	14	predicted gene, 27017	lncRNA
Dleu7	ENSMUSG00000048281	239133	Dleu7	14	deleted in lymphocytic leukemia, 7	protein_coding
Rnaseh2b	ENSMUSG00000021932	67153	Rnaseh2b	14	ribonuclease H2, subunit B	protein_coding
Gucy1b2	ENSMUSG00000021933	239134	Gucy1b2	14	guanylate cyclase 1, soluble, beta 2	protein_coding
Gm4131	ENSMUSG00000100486	100042960	Gm4131	14	predicted gene 4131	protein_coding
Fam124a	ENSMUSG00000035184	629059	Fam124a	14	family with sequence similarity 124, member A	protein_coding
Ints6	ENSMUSG00000035161	18130	Ints6	14	integrator complex subunit 6	protein_coding
Wdfy2	ENSMUSG00000014547	268752	Wdfy2	14	WD repeat and FYVE domain containing 2	protein_coding
Defb47	ENSMUSG00000075573	654465	Defb47	14	defensin beta 47	protein_coding
Defb42	ENSMUSG00000054763	619548	Defb42	14	defensin beta 42	protein_coding
Ctsb	ENSMUSG00000021939	13030	Ctsb	14	cathepsin B	protein_coding
Fdft1	ENSMUSG00000021273	14137	Fdft1	14	farnesyl diphosphate farnesyl transferase 1	protein_coding
Neil2	ENSMUSG00000035121	382913	Neil2	14	nei like 2 (E. coli)	protein_coding
Gata4	ENSMUSG00000021944	14463	Gata4	14	GATA binding protein 4	protein_coding
Fam167a	ENSMUSG00000035095	219148	Fam167a	14	family with sequence similarity 167, member A	protein_coding
Mtmr9	ENSMUSG00000035078	210376	Mtmr9	14	myotubularin related protein 9	protein_coding
Xkr6	ENSMUSG00000035067	219149	Xkr6	14	X-linked Kx blood group related 6	protein_coding
Pinx1	ENSMUSG00000021958	72400	Pinx1	14	PIN2/TERF1 interacting, telomerase inhibitor 1	protein_coding
Sox7	ENSMUSG00000063060	20680	Sox7	14	SRY (sex determining region Y)-box 7	protein_coding
Gm17116	ENSMUSG00000090785	NA	Gm17116	14	predicted gene 17116	lncRNA
Msra	ENSMUSG00000054733	110265	Msra	14	methionine sulfoxide reductase A	protein_coding
Kif13b	ENSMUSG00000060012	16554	Kif13b	14	kinesin family member 13B	protein_coding
Hmbox1	ENSMUSG00000021972	219150	Hmbox1	14	homeobox containing 1	protein_coding
Ints9	ENSMUSG00000021975	210925	Ints9	14	integrator complex subunit 9	protein_coding
Extl3	ENSMUSG00000021978	54616	Extl3	14	exostoses (multiple)-like 3	protein_coding
Fzd3	ENSMUSG00000007989	14365	Fzd3	14	frizzled class receptor 3	protein_coding
Fbxo16	ENSMUSG00000034532	50759	Fbxo16	14	F-box protein 16	protein_coding
Gm48433	ENSMUSG00000114209	NA	Gm48433	14	predicted gene, 48433	lncRNA
Zfp395	ENSMUSG00000034522	380912	Zfp395	14	zinc finger protein 395	protein_coding
Pnoc	ENSMUSG00000045731	18155	Pnoc	14	prepronociceptin	protein_coding
Elp3	ENSMUSG00000022031	74195	Elp3	14	elongator acetyltransferase complex subunit 3	protein_coding
Nuggc	ENSMUSG00000061356	100503545	Nuggc	14	nuclear GTPase, germinal center associated	protein_coding
Scara5	ENSMUSG00000022032	71145	Scara5	14	scavenger receptor class A, member 5	protein_coding
Pbk	ENSMUSG00000022033	52033	Pbk	14	PDZ binding kinase	protein_coding
Esco2	ENSMUSG00000022034	71988	Esco2	14	establishment of sister chromatid cohesion N-acetyltransferase 2	protein_coding
Ccdc25	ENSMUSG00000022035	67179	Ccdc25	14	coiled-coil domain containing 25	protein_coding
Scara3	ENSMUSG00000034463	219151	Scara3	14	scavenger receptor class A, member 3	protein_coding
Clu	ENSMUSG00000022037	12759	Clu	14	clusterin	protein_coding
Gulo	ENSMUSG00000034450	268756	Gulo	14	gulonolactone (L-) oxidase	protein_coding
Ephx2	ENSMUSG00000022040	13850	Ephx2	14	epoxide hydrolase 2, cytoplasmic	protein_coding
Ptk2b	ENSMUSG00000059456	19229	Ptk2b	14	PTK2 protein tyrosine kinase 2 beta	protein_coding
Trim35	ENSMUSG00000022043	66854	Trim35	14	tripartite motif-containing 35	protein_coding
Stmn4	ENSMUSG00000022044	56471	Stmn4	14	stathmin-like 4	protein_coding
Adra1a	ENSMUSG00000045875	11549	Adra1a	14	adrenergic receptor, alpha 1a	protein_coding
Dpysl2	ENSMUSG00000022048	12934	Dpysl2	14	dihydropyrimidinase-like 2	protein_coding
Gm5464	ENSMUSG00000075553	NA	Gm5464	14	predicted gene 5464	lncRNA
Pnma2	ENSMUSG00000046204	239157	Pnma2	14	paraneoplastic antigen MA2	protein_coding
Bnip3l	ENSMUSG00000022051	12177	Bnip3l	14	BCL2/adenovirus E1B interacting protein 3-like	protein_coding
Ppp2r2a	ENSMUSG00000022052	71978	Ppp2r2a	14	protein phosphatase 2, regulatory subunit B, alpha	protein_coding
AC166061.1	ENSMUSG00000114697	NA	Gm30806	14	predicted gene, 30806	lncRNA
Gm20675	ENSMUSG00000093744	NA	Gm20675	14	predicted gene 20675	lncRNA
Ebf2	ENSMUSG00000022053	13592	Ebf2	14	early B cell factor 2	protein_coding
Cdca2	ENSMUSG00000048922	108912	Cdca2	14	cell division cycle associated 2	protein_coding
Kctd9	ENSMUSG00000034327	105440	Kctd9	14	potassium channel tetramerisation domain containing 9	protein_coding
Gnrh1	ENSMUSG00000015812	14714	Gnrh1	14	gonadotropin releasing hormone 1	protein_coding
Dock5	ENSMUSG00000044447	68813	Dock5	14	dedicator of cytokinesis 5	protein_coding
Nefm	ENSMUSG00000022054	18040	Nefm	14	neurofilament, medium polypeptide	protein_coding
Nefl	ENSMUSG00000022055	18039	Nefl	14	neurofilament, light polypeptide	protein_coding
Adamdec1	ENSMUSG00000022057	58860	Adamdec1	14	ADAM-like, decysin 1	protein_coding
Adam28	ENSMUSG00000014725	13522	Adam28	14	a disintegrin and metallopeptidase domain 28	protein_coding
Stc1	ENSMUSG00000014813	20855	Stc1	14	stanniocalcin 1	protein_coding
Slc25a37	ENSMUSG00000034248	67712	Slc25a37	14	solute carrier family 25, member 37	protein_coding
Gm16677	ENSMUSG00000097511	NA	Gm16677	14	predicted gene, 16677	lncRNA
Loxl2	ENSMUSG00000034205	94352	Loxl2	14	lysyl oxidase-like 2	protein_coding
R3hcc1	ENSMUSG00000034194	71843	R3hcc1	14	R3H domain and coiled-coil containing 1	protein_coding
Chmp7	ENSMUSG00000034190	105513	Chmp7	14	charged multivesicular body protein 7	protein_coding
Tnfrsf10b	ENSMUSG00000022074	21933	Tnfrsf10b	14	tumor necrosis factor receptor superfamily, member 10b	protein_coding
Rhobtb2	ENSMUSG00000022075	246710	Rhobtb2	14	Rho-related BTB domain containing 2	protein_coding
Egr3	ENSMUSG00000033730	13655	Egr3	14	early growth response 3	protein_coding
Bin3	ENSMUSG00000022089	57784	Bin3	14	bridging integrator 3	protein_coding
Ccar2	ENSMUSG00000033712	219158	Ccar2	14	cell cycle activator and apoptosis regulator 2	protein_coding
9930012K11Rik	ENSMUSG00000044551	268759	9930012K11Rik	14	RIKEN cDNA 9930012K11 gene	protein_coding
Pdlim2	ENSMUSG00000022090	213019	Pdlim2	14	PDZ and LIM domain 2	protein_coding
Sorbs3	ENSMUSG00000022091	20410	Sorbs3	14	sorbin and SH3 domain containing 3	protein_coding
AC151836.1	ENSMUSG00000115186	NA	Gm49417	14	predicted gene, 49417	lncRNA
Ppp3cc	ENSMUSG00000022092	19057	Ppp3cc	14	protein phosphatase 3, catalytic subunit, gamma isoform	protein_coding
Slc39a14	ENSMUSG00000022094	213053	Slc39a14	14	solute carrier family 39 (zinc transporter), member 14	protein_coding
Piwil2	ENSMUSG00000033644	57746	Piwil2	14	piwi-like RNA-mediated gene silencing 2	protein_coding
Polr3d	ENSMUSG00000000776	67065	Polr3d	14	polymerase (RNA) III (DNA directed) polypeptide D	protein_coding
Phyhip	ENSMUSG00000003469	105653	Phyhip	14	phytanoyl-CoA hydroxylase interacting protein	protein_coding
Bmp1	ENSMUSG00000022098	12153	Bmp1	14	bone morphogenetic protein 1	protein_coding
Lgi3	ENSMUSG00000033595	213469	Lgi3	14	leucine-rich repeat LGI family, member 3	protein_coding
Reep4	ENSMUSG00000033589	72549	Reep4	14	receptor accessory protein 4	protein_coding
Hr	ENSMUSG00000022096	15460	Hr	14	lysine demethylase and nuclear receptor corepressor	protein_coding
Nudt18	ENSMUSG00000045211	213484	Nudt18	14	nudix (nucleoside diphosphate linked moiety X)-type motif 18	protein_coding
Fam160b2	ENSMUSG00000022095	239170	Fam160b2	14	family with sequence similarity 160, member B2	protein_coding
Dmtn	ENSMUSG00000022099	13829	Dmtn	14	dematin actin binding protein	protein_coding
Fgf17	ENSMUSG00000022101	14171	Fgf17	14	fibroblast growth factor 17	protein_coding
Npm2	ENSMUSG00000047911	328440	Npm2	14	nucleophosmin/nucleoplasmin 2	protein_coding
Xpo7	ENSMUSG00000022100	65246	Xpo7	14	exportin 7	protein_coding
Dok2	ENSMUSG00000022102	13449	Dok2	14	docking protein 2	protein_coding
Gfra2	ENSMUSG00000022103	14586	Gfra2	14	glial cell line derived neurotrophic factor family receptor alpha 2	protein_coding
Fndc3a	ENSMUSG00000033487	319448	Fndc3a	14	fibronectin type III domain containing 3A	protein_coding
Cysltr2	ENSMUSG00000033470	70086	Cysltr2	14	cysteinyl leukotriene receptor 2	protein_coding
Rcbtb2	ENSMUSG00000022106	105670	Rcbtb2	14	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein_coding
Rb1	ENSMUSG00000022105	19645	Rb1	14	RB transcriptional corepressor 1	protein_coding
Lpar6	ENSMUSG00000033446	67168	Lpar6	14	lysophosphatidic acid receptor 6	protein_coding
Itm2b	ENSMUSG00000022108	16432	Itm2b	14	integral membrane protein 2B	protein_coding
Med4	ENSMUSG00000022109	67381	Med4	14	mediator complex subunit 4	protein_coding
Nudt15	ENSMUSG00000033405	214254	Nudt15	14	nudix (nucleoside diphosphate linked moiety X)-type motif 15	protein_coding
Sucla2	ENSMUSG00000022110	20916	Sucla2	14	succinate-Coenzyme A ligase, ADP-forming, beta subunit	protein_coding
Gm49164	ENSMUSG00000115289	NA	Gm49164	14	predicted gene, 49164	lncRNA
Gm49171	ENSMUSG00000115704	NA	Gm49171	14	predicted gene, 49171	lncRNA
4933402J15Rik	ENSMUSG00000115845	NA	4933402J15Rik	14	RIKEN cDNA 4933402J15 gene	lncRNA
Htr2a	ENSMUSG00000034997	15558	Htr2a	14	5-hydroxytryptamine (serotonin) receptor 2A	protein_coding
Esd	ENSMUSG00000021996	13885	Esd	14	esterase D/formylglutathione hydrolase	protein_coding
Lrch1	ENSMUSG00000068015	380916	Lrch1	14	leucine-rich repeats and calponin homology (CH) domain containing 1	protein_coding
Gm10847	ENSMUSG00000115002	NA	Gm10847	14	predicted gene 10847	lncRNA
Rubcnl	ENSMUSG00000034959	271221	Rubcnl	14	RUN and cysteine rich domain containing beclin 1 interacting protein like	protein_coding
Lcp1	ENSMUSG00000021998	18826	Lcp1	14	lymphocyte cytosolic protein 1	protein_coding
Zc3h13	ENSMUSG00000022000	67302	Zc3h13	14	zinc finger CCCH type containing 13	protein_coding
Cog3	ENSMUSG00000034893	338337	Cog3	14	component of oligomeric golgi complex 3	protein_coding
Slc25a30	ENSMUSG00000022003	67554	Slc25a30	14	solute carrier family 25, member 30	protein_coding
Gm4285	ENSMUSG00000085829	NA	Gm4285	14	predicted gene 4285	lncRNA
Tpt1	ENSMUSG00000060126	22070	Tpt1	14	tumor protein, translationally-controlled 1	protein_coding
Gtf2f2	ENSMUSG00000067995	68705	Gtf2f2	14	general transcription factor IIF, polypeptide 2	protein_coding
Kctd4	ENSMUSG00000046523	67516	Kctd4	14	potassium channel tetramerisation domain containing 4	protein_coding
Gpalpp1	ENSMUSG00000022008	67467	Gpalpp1	14	GPALPP motifs containing 1	protein_coding
Nufip1	ENSMUSG00000022009	27275	Nufip1	14	nuclear fragile X mental retardation protein interacting protein 1	protein_coding
Tsc22d1	ENSMUSG00000022010	21807	Tsc22d1	14	TSC22 domain family, member 1	protein_coding
E130202H07Rik	ENSMUSG00000115092	NA	E130202H07Rik	14	RIKEN cDNA E130202H07 gene	lncRNA
Serp2	ENSMUSG00000052584	72661	Serp2	14	stress-associated endoplasmic reticulum protein family member 2	protein_coding
Gm30246	ENSMUSG00000115817	NA	Gm30246	14	predicted gene, 30246	lncRNA
Lacc1	ENSMUSG00000044350	210808	Lacc1	14	laccase domain containing 1	protein_coding
Ccdc122	ENSMUSG00000034795	108811	Ccdc122	14	coiled-coil domain containing 122	protein_coding
Enox1	ENSMUSG00000022012	239188	Enox1	14	ecto-NOX disulfide-thiol exchanger 1	protein_coding
Dnajc15	ENSMUSG00000022013	66148	Dnajc15	14	DnaJ heat shock protein family (Hsp40) member C15	protein_coding
Epsti1	ENSMUSG00000022014	108670	Epsti1	14	epithelial stromal interaction 1 (breast)	protein_coding
Tnfsf11	ENSMUSG00000022015	21943	Tnfsf11	14	tumor necrosis factor (ligand) superfamily, member 11	protein_coding
Akap11	ENSMUSG00000022016	219181	Akap11	14	A kinase (PRKA) anchor protein 11	protein_coding
Dgkh	ENSMUSG00000034731	380921	Dgkh	14	diacylglycerol kinase, eta	protein_coding
Vwa8	ENSMUSG00000058997	219189	Vwa8	14	von Willebrand factor A domain containing 8	protein_coding
Gm4632	ENSMUSG00000115111	NA	Gm4632	14	predicted gene 4632	lncRNA
Zfp957	ENSMUSG00000071262	105590	Zfp957	14	zinc finger protein 957	protein_coding
Rgcc	ENSMUSG00000022018	66214	Rgcc	14	regulator of cell cycle	protein_coding
Naa16	ENSMUSG00000022020	66897	Naa16	14	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	protein_coding
Mtrf1	ENSMUSG00000022022	211253	Mtrf1	14	mitochondrial translational release factor 1	protein_coding
Kbtbd7	ENSMUSG00000043881	211255	Kbtbd7	14	kelch repeat and BTB (POZ) domain containing 7	protein_coding
Kbtbd6	ENSMUSG00000075502	432879	Kbtbd6	14	kelch repeat and BTB (POZ) domain containing 6	protein_coding
Wbp4	ENSMUSG00000022023	22380	Wbp4	14	WW domain binding protein 4	protein_coding
Elf1	ENSMUSG00000036461	13709	Elf1	14	E74-like factor 1	protein_coding
Sugt1	ENSMUSG00000022024	67955	Sugt1	14	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	protein_coding
Cnmd	ENSMUSG00000022025	16840	Cnmd	14	chondromodulin	protein_coding
Pcdh8	ENSMUSG00000036422	18530	Pcdh8	14	protocadherin 8	protein_coding
Pcdh17	ENSMUSG00000035566	219228	Pcdh17	14	protocadherin 17	protein_coding
Gm32913	ENSMUSG00000115664	NA	Gm32913	14	predicted gene, 32913	lncRNA
Diaph3	ENSMUSG00000022021	56419	Diaph3	14	diaphanous related formin 3	protein_coding
Tdrd3	ENSMUSG00000022019	219249	Tdrd3	14	tudor domain containing 3	protein_coding
Pcdh20	ENSMUSG00000050505	219257	Pcdh20	14	protocadherin 20	protein_coding
Pcdh9	ENSMUSG00000055421	211712	Pcdh9	14	protocadherin 9	protein_coding
Klhl1	ENSMUSG00000022076	93688	Klhl1	14	kelch-like 1	protein_coding
Dach1	ENSMUSG00000055639	13134	Dach1	14	dachshund family transcription factor 1	protein_coding
Rpl36a-ps1	ENSMUSG00000060377	NA	Rpl36a-ps1	14	ribosomal protein L36A, pseudogene 1	protein_coding
Mzt1	ENSMUSG00000033186	76789	Mzt1	14	mitotic spindle organizing protein 1	protein_coding
Bora	ENSMUSG00000022070	77744	Bora	14	bora, aurora kinase A activator	protein_coding
Dis3	ENSMUSG00000033166	72662	Dis3	14	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	protein_coding
Pibf1	ENSMUSG00000022064	52023	Pibf1	14	progesterone immunomodulatory binding factor 1	protein_coding
Klf5	ENSMUSG00000005148	12224	Klf5	14	Kruppel-like factor 5	protein_coding
Klf12	ENSMUSG00000072294	16597	Klf12	14	Kruppel-like factor 12	protein_coding
Gm41231	ENSMUSG00000110273	NA	Gm41231	14	predicted gene, 41231	lncRNA
Tbc1d4	ENSMUSG00000033083	210789	Tbc1d4	14	TBC1 domain family, member 4	protein_coding
Commd6	ENSMUSG00000075486	66200	Commd6	14	COMM domain containing 6	protein_coding
Uchl3	ENSMUSG00000022111	50933	Uchl3	14	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	protein_coding
Gm9922	ENSMUSG00000053821	NA	Gm9922	14	predicted gene 9922	lncRNA
Lmo7	ENSMUSG00000033060	380928	Lmo7	14	LIM domain only 7	protein_coding
Kctd12	ENSMUSG00000098557	239217	Kctd12	14	potassium channel tetramerisation domain containing 12	protein_coding
